,Himmelblau_solution_0,Himmelblau_solution_1,Himmelblau_solution_2,Himmelblau_solution_3,Himmelblau_solution_4,Himmelblau_solution_5,Himmelblau_solution_6,Himmelblau_solution_7,Himmelblau_solution_8,Himmelblau_solution_9,Himmelblau_solution_10,Himmelblau_solution_11,Himmelblau_solution_12,Himmelblau_solution_13,Himmelblau_solution_14,Himmelblau_solution_15,Himmelblau_solution_16,Himmelblau_solution_17,Himmelblau_solution_18,Himmelblau_solution_19,Himmelblau_solution_20,Himmelblau_solution_21,Himmelblau_solution_22,Himmelblau_solution_23,Himmelblau_solution_24,Himmelblau_solution_25,Himmelblau_solution_26,Himmelblau_solution_27,Himmelblau_solution_28,Himmelblau_solution_29
31,-30365.582461639795,-30479.12085717361,-29841.30601425819,-30335.251673380117,-30119.826155413997,-29759.131294641193,-30456.634177305343,-29964.311939496256,-30167.18853757668,-30181.90946520192,-30417.187141802235,-30475.441505649313,-30162.417406195702,-30449.414102437404,-30139.363428202814,-30165.60080118762,-30390.392889283088,-30477.043527845482,-30193.879767473787,-30081.996845849655,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29977.389850010593,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29900.542774023066
32,-30365.582461639795,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30119.826155413997,-29759.131294641193,-30456.634177305343,-29964.311939496256,-30167.18853757668,-30181.90946520192,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30449.414102437404,-30139.363428202814,-30165.60080118762,-30390.392889283088,-30477.043527845482,-30193.879767473787,-30084.436550326627,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29977.389850010593,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29630.130973066814,-30051.416542857016
33,-30365.582461639795,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30119.826155413997,-29759.131294641193,-30456.634177305343,-29964.311939496256,-30204.729495772044,-30181.90946520192,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30449.414102437404,-30222.140767506797,-30165.60080118762,-30481.879343772714,-30477.043527845482,-30193.879767473787,-30084.436550326627,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29657.570112319954,-30073.665997212716
34,-30365.582461639795,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30119.826155413997,-29791.002900443666,-30456.634177305343,-30176.47728637408,-30204.729495772044,-30181.90946520192,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30449.414102437404,-30222.140767506797,-30165.60080118762,-30482.668401807554,-30477.043527845482,-30412.211308136266,-30084.436550326627,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29685.25288031847,-30231.669983032338
35,-30365.582461639795,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30119.826155413997,-29791.002900443666,-30456.634177305343,-30214.26213493789,-30204.729495772044,-30181.90946520192,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30449.414102437404,-30222.140767506797,-30165.60080118762,-30482.668401807554,-30477.043527845482,-30412.211308136266,-30084.436550326627,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29685.25288031847,-30231.669983032338
36,-30369.98446658456,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30119.826155413997,-29791.002900443666,-30456.634177305343,-30214.26213493789,-30204.729495772044,-30181.90946520192,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30476.80636703206,-30222.140767506797,-30165.60080118762,-30482.668401807554,-30480.321120833665,-30412.211308136266,-30130.01120697723,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30506.677509229503,-29685.25288031847,-30231.669983032338
37,-30369.98446658456,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30119.826155413997,-29791.002900443666,-30456.634177305343,-30214.26213493789,-30204.729495772044,-30181.90946520192,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30476.80636703206,-30222.140767506797,-30165.60080118762,-30516.40654143763,-30480.321120833665,-30412.211308136266,-30130.01120697723,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29908.427457672482,-30441.461022425072,-30526.861822551946,-30506.677509229503,-29685.25288031847,-30231.669983032338
38,-30369.98446658456,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30130.81596738966,-29791.002900443666,-30456.634177305343,-30214.26213493789,-30204.729495772044,-30265.114394834996,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30523.841353409927,-30222.140767506797,-30165.60080118762,-30516.40654143763,-30506.14291142431,-30412.211308136266,-30130.01120697723,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29908.427457672482,-30441.461022425072,-30526.861822551946,-30506.677509229503,-29685.25288031847,-30231.669983032338
39,-30369.98446658456,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30131.956287596593,-29791.002900443666,-30456.634177305343,-30214.26213493789,-30204.729495772044,-30329.317501201986,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30523.841353409927,-30222.140767506797,-30165.60080118762,-30516.40654143763,-30506.14291142431,-30412.211308136266,-30130.01120697723,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29908.427457672482,-30441.461022425072,-30526.861822551946,-30506.677509229503,-29844.015642966482,-30231.669983032338
40,-30369.98446658456,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30131.956287596593,-29791.002900443666,-30456.634177305343,-30311.207246672573,-30204.729495772044,-30329.317501201986,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30523.841353409927,-30222.140767506797,-30165.60080118762,-30516.40654143763,-30506.14291142431,-30412.211308136266,-30147.325731399185,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29908.427457672482,-30441.461022425072,-30526.861822551946,-30567.361103848307,-29844.015642966482,-30231.669983032338
41,-30386.82902832225,-30479.12085717361,-29853.924589209608,-30335.251673380117,-30131.956287596593,-29791.002900443666,-30456.634177305343,-30311.207246672573,-30204.729495772044,-30329.317501201986,-30507.277794375266,-30475.441505649313,-30162.417406195702,-30539.088967165022,-30222.140767506797,-30165.60080118762,-30516.40654143763,-30506.14291142431,-30412.211308136266,-30147.325731399185,-29938.941917257078,-30313.49227861329,-30403.639293223867,-30023.97820267849,-29908.427457672482,-30441.461022425072,-30526.861822551946,-30567.361103848307,-29844.015642966482,-30242.45807008201
